NND_ID,HL_LOC,NND_LABEL,FROM_UNIQUE_ID,FROM_QUESTION_NM,FROM_CODE_SET_NM,CONCEPT_CD,CONCEPT_PREFERRED_NM,FROM_CODE,FROM_DISPLAY_NM,NBS_CLASS_CD,TO_UNIQUE_ID,TO_QUESTION_NM,TO_CODE_SET_NM,TO_CODE,TO_DISPLAY_NM,NOTES,,,
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,261QS1000X,School Clinic,SH,Student Health,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",17,School-based Clinic,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', '261QS1000X', 'School Clinic', 'SH', 'Student Health', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '17', 'School-based Clinic', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,OTH,Other,OT,other,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",88,Other,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'OTH', 'Other', 'OT', 'other', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '88', 'Other', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,331L00000X,Blood Bank,BB,Blood Bank,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",13,Blook Bank,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', '331L00000X', 'Blood Bank', 'BB', 'Blood Bank', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '13', 'Blook Bank', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC259,Prenatal/Obstetrics Facility,PO,Prenatal and or obstetrics Facility,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",15,Prenatal,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC259', 'Prenatal/Obstetrics Facility', 'PO', 'Prenatal and or obstetrics Facility', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '15', 'Prenatal', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC1223,National Job Training Program,NJ,National Job Training Program,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",16,National Job Training Program,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC1223', 'National Job Training Program', 'NJ', 'National Job Training Program', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '16', 'National Job Training Program', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC1219,STD Clinic,PS,STD Clinic,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",02,STD clinic (Represents PUBLIC to match old reporting forms.),,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC1219', 'STD Clinic', 'PS', 'STD Clinic', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '02', 'STD clinic (Represents PUBLIC to match old reporting forms.)', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC1221,TB Clinic,PT,TB Clinic,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",06,Tuberculosis Clinic,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC1221', 'TB Clinic', 'PT', 'TB Clinic', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '06', 'Tuberculosis Clinic', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC249,Military,MI,Military (Organization),CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",77,Military,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC249', 'Military', 'MI', 'Military (Organization)', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '77', 'Military', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,261QR1300X,Rural Health,RU,Rural Health,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",88,Other,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', '261QR1300X', 'Rural Health', 'RU', 'Rural Health', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '88', 'Other', '');"
INV112,OBX-3.0,Reporting Source Type Code,INV112,Investigation Reporting Source Type,PHVS_ReportingSourceType_NND,PHC251,Public Health Clinic,PH,Public health clinic,CODE_VALUE_GENERAL,"INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)","INFOSRCE - Facility Type (STD dx, rx)",07,Other Health Department Clinic,,,,"INSERT INTO LOOKUP_NNDLookup (NND_ID, HL_LOC, NND_LABEL, FROM_UNIQUE_ID, FROM_QUESTION_NM, FROM_CODE_SET_NM, CONCEPT_CD, CONCEPT_PREFERRED_NM, FROM_CODE, FROM_DISPLAY_NM, NBS_CLASS_CD, TO_UNIQUE_ID, TO_QUESTION_NM, TO_CODE_SET_NM, TO_CODE, TO_DISPLAY_NM, NOTES) VALUES ('INV112', 'OBX-3.0', 'Reporting Source Type Code', 'INV112', 'Investigation Reporting Source Type', 'PHVS_ReportingSourceType_NND', 'PHC251', 'Public Health Clinic', 'PH', 'Public health clinic', 'CODE_VALUE_GENERAL', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', 'INFOSRCE - Facility Type (STD dx, rx)', '07', 'Other Health Department Clinic', '');"
